Time,result,bal_pre,leak_val,leak_val_1
Thu Jun  1 10:52:05 2023, PASS_RES,100061.971,2.384,0
Thu Jun  1 10:52:19 2023, PASS_RES,100054.569,2.752,0
Thu Jun  1 10:52:32 2023, PASS_RES,100059.148,6.609,0
Thu Jun  1 10:52:46 2023, PASS_RES,100059.977,4.053,0
Thu Jun  1 10:53:00 2023, PASS_RES,100056.056,0.359,0
Thu Jun  1 10:53:14 2023, PASS_RES,100050.653,1.871,0
Thu Jun  1 10:53:28 2023, PASS_RES,100051.011,6.654,0
Thu Jun  1 10:53:42 2023, PASS_RES,100050.185,7.13,0
Thu Jun  1 10:53:56 2023, PASS_RES,100006.727,3.429,0
Thu Jun  1 10:54:10 2023, PASS_RES,100047.632,4.248,0
Thu Jun  1 10:54:23 2023, PASS_RES,100047.666,5.377,0
Thu Jun  1 10:54:37 2023, PASS_RES,100051.231,3.202,0
Thu Jun  1 10:54:51 2023, PASS_RES,100049.79,2.34,0
Thu Jun  1 10:55:05 2023, PASS_RES,100047.498,4.24,0
Thu Jun  1 10:55:19 2023, PASS_RES,100047.192,4.514,0
Thu Jun  1 10:55:33 2023, PASS_RES,100045.338,-0.486,0
Thu Jun  1 10:55:47 2023, PASS_RES,100043.993,1.126,0
Thu Jun  1 10:56:01 2023, PASS_RES,100043.069,1.588,0
Thu Jun  1 10:56:14 2023, PASS_RES,100044.526,-1.218,0
Thu Jun  1 10:56:28 2023, PASS_RES,100048.011,2.04,0
Thu Jun  1 10:56:42 2023, PASS_RES,100045.122,2.451,0
Thu Jun  1 10:56:56 2023, PASS_RES,100049.868,5.544,0
Thu Jun  1 10:57:10 2023, PASS_RES,100049.38,2.391,0
Thu Jun  1 10:57:24 2023, PASS_RES,100048.929,2.113,0
Thu Jun  1 10:57:38 2023, PASS_RES,100050.951,2.167,0
Thu Jun  1 10:57:51 2023, PASS_RES,100047.975,5.601,0
Thu Jun  1 10:58:05 2023, PASS_RES,100043.702,2.09,0
Thu Jun  1 10:58:19 2023, PASS_RES,100045.441,2.417,0
Thu Jun  1 10:58:33 2023, PASS_RES,100045.941,2.238,0
Thu Jun  1 10:58:47 2023, PASS_RES,100046.691,2.533,0
Thu Jun  1 10:59:01 2023, PASS_RES,100044.69,4.161,0
Thu Jun  1 10:59:15 2023, PASS_RES,100048.71,6.93,0
Thu Jun  1 10:59:28 2023, PASS_RES,100048.15,1.202,0
Thu Jun  1 10:59:42 2023, PASS_RES,100047.657,6.122,0
Thu Jun  1 10:59:56 2023, PASS_RES,100044.215,3.071,0
Thu Jun  1 11:00:10 2023, PASS_RES,100042.623,4.136,0
Thu Jun  1 11:00:24 2023, PASS_RES,100045.939,2.703,0
Thu Jun  1 11:00:38 2023, PASS_RES,100047.558,5.138,0
Thu Jun  1 11:00:52 2023, PASS_RES,100049,-0.42,0
Thu Jun  1 11:01:06 2023, PASS_RES,100051.832,6.12,0
Thu Jun  1 11:01:19 2023, PASS_RES,100052.951,3.446,0
Thu Jun  1 11:01:33 2023, PASS_RES,100050.11,2.832,0
Thu Jun  1 11:01:47 2023, PASS_RES,100055.301,3.477,0
Thu Jun  1 11:02:01 2023, PASS_RES,100051.109,6.935,0
Thu Jun  1 11:02:15 2023, PASS_RES,100043.177,3.572,0
Thu Jun  1 11:02:29 2023, PASS_RES,100041.339,3.41,0
Thu Jun  1 11:02:43 2023, PASS_RES,100041.876,1.068,0
Thu Jun  1 11:02:56 2023, PASS_RES,100044.927,4.11,0
Thu Jun  1 11:03:10 2023, PASS_RES,100048.732,7.799,0
Thu Jun  1 11:03:24 2023, PASS_RES,100049.153,6.817,0
Thu Jun  1 11:03:38 2023, PASS_RES,100048.019,2.864,0
Thu Jun  1 11:03:52 2023, PASS_RES,100048.307,0.358,0
Thu Jun  1 11:04:06 2023, PASS_RES,100051.122,4.458,0
Thu Jun  1 11:04:20 2023, PASS_RES,100047.916,3.807,0
Thu Jun  1 11:04:33 2023, PASS_RES,100050.305,4.726,0
Thu Jun  1 11:04:47 2023, PASS_RES,100052.128,1.886,0
Thu Jun  1 11:05:01 2023, PASS_RES,100052.777,4.184,0
Thu Jun  1 11:05:15 2023, PASS_RES,100054.079,6.312,0
Thu Jun  1 11:05:29 2023, PASS_RES,100049.382,1.448,0
Thu Jun  1 11:05:43 2023, PASS_RES,100051.761,9.089,0
Thu Jun  1 11:05:57 2023, PASS_RES,100053.364,6.373,0
Thu Jun  1 11:06:11 2023, PASS_RES,100052.963,6.532,0
